1709037459223	geckodriver	INFO	Listening on 127.0.0.1:4444
1709037459263	webdriver::server	DEBUG	-> GET /status 
1709037459263	webdriver::server	DEBUG	<- 200 OK {"value":{"message":"","ready":true}}
1709037459289	webdriver::server	DEBUG	-> POST /session {"capabilities":{"firstMatch":[{}],"alwaysMatch":{"browserName":"firefox","moz:firefoxOptions":{"binary":"/usr/bin/firefox"}}}}
1709037459289	geckodriver::capabilities	DEBUG	Trying to read firefox version from ini files
1709037459313	geckodriver::capabilities	DEBUG	Found version 123.0
1709037459314	mozrunner::runner	INFO	Running command: MOZ_CRASHREPORTER="1" MOZ_CRASHREPORTER_NO_REPORT="1" MOZ_CRASHREPORTER_SHUTDOWN="1" MOZ_NO_REMOTE="1" "/usr/bin/firefox" "--marionette" "-no-remote" "-profile" "/tmp/rust_mozprofilebt77CA"
1709037459315	geckodriver::marionette	DEBUG	Waiting 60s to connect to browser on 127.0.0.1
1709037459315	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459315	geckodriver::marionette	TRACE	Retrying in 100ms
1709037459415	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459415	geckodriver::marionette	TRACE	Retrying in 100ms
1709037459515	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459515	geckodriver::marionette	TRACE	Retrying in 100ms
1709037459615	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459616	geckodriver::marionette	TRACE	Retrying in 100ms
console.warn: services.settings: Ignoring preference override of remote settings server
console.warn: services.settings: Allow by setting MOZ_REMOTE_SETTINGS_DEVTOOLS=1 in the environment
1709037459716	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459716	geckodriver::marionette	TRACE	Retrying in 100ms
1709037459816	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459816	geckodriver::marionette	TRACE	Retrying in 100ms
1709037459916	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037459916	geckodriver::marionette	TRACE	Retrying in 100ms
1709037460016	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037460016	geckodriver::marionette	TRACE	Retrying in 100ms
1709037460117	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037460117	geckodriver::marionette	TRACE	Retrying in 100ms
1709037460217	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037460217	geckodriver::marionette	TRACE	Retrying in 100ms
1709037460317	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
1709037460317	geckodriver::marionette	TRACE	Retrying in 100ms
1709037460418	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofilebt77CA/MarionetteActivePort
